L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.426896,0.522071,0.525507,0.479068,0.658748,0.885128,0.886707,0.843517,0.558657,0.549153,0.596508,0.649099,0.404033,0.436429,0.387491,0.331951,0.298103,0.098359,0.106495,0.1231,0.077169,0.05264,0.061589,0.043417
0.430551,0.527637,0.531128,0.484875,0.655592,0.881966,0.883546,0.840347,0.558758,0.54857,0.595952,0.648765,0.404046,0.436406,0.387478,0.331936,0.298248,0.099499,0.107545,0.123659,0.077205,0.052604,0.061553,0.043397
0.434238,0.533496,0.537032,0.490978,0.652436,0.878803,0.880384,0.837177,0.558951,0.54794,0.59535,0.648411,0.40406,0.436381,0.387464,0.33192,0.298119,0.100529,0.108462,0.124001,0.077239,0.052569,0.061519,0.043378
0.437978,0.53962,0.543192,0.497344,0.64928,0.875638,0.877221,0.834005,0.559225,0.54727,0.59471,0.648037,0.404074,0.436356,0.38745,0.331902,0.297725,0.101435,0.109237,0.12413,0.07727,0.052533,0.061485,0.04336
0.441791,0.545983,0.549581,0.503943,0.646124,0.872473,0.874056,0.830831,0.559572,0.54657,0.594039,0.647644,0.404089,0.43633,0.387436,0.331885,0.297075,0.102209,0.109865,0.124054,0.0773,0.052496,0.06145,0.043342
0.445696,0.55256,0.556176,0.510748,0.642968,0.869307,0.87089,0.827657,0.559979,0.545849,0.593347,0.647235,0.404107,0.436304,0.387423,0.331867,0.296179,0.102842,0.110342,0.123779,0.077327,0.052459,0.061415,0.043325
0.449708,0.55933,0.562955,0.517736,0.639813,0.866141,0.867723,0.824481,0.560432,0.545118,0.592642,0.646815,0.404127,0.43628,0.387411,0.33185,0.295044,0.103325,0.110667,0.123316,0.077353,0.05242,0.06138,0.043308
0.453839,0.566277,0.569904,0.524886,0.636658,0.862976,0.864555,0.821305,0.560916,0.544389,0.591936,0.646388,0.404149,0.436257,0.3874,0.331833,0.293677,0.103655,0.11084,0.122675,0.077377,0.052379,0.061343,0.043293
0.458099,0.573386,0.577009,0.532184,0.633504,0.859812,0.861386,0.818127,0.561417,0.543674,0.59124,0.645961,0.404174,0.436237,0.387391,0.331817,0.292084,0.10383,0.110863,0.121867,0.0774,0.052337,0.061305,0.043278
0.462492,0.580648,0.584261,0.539616,0.630352,0.85665,0.858216,0.814948,0.561919,0.542981,0.590565,0.645543,0.404202,0.43622,0.387384,0.331802,0.290269,0.103849,0.110743,0.120905,0.077422,0.052293,0.061266,0.043265
0.467024,0.588055,0.591654,0.547175,0.627201,0.85349,0.855045,0.81177,0.562407,0.542323,0.589922,0.645139,0.404232,0.436205,0.387379,0.331787,0.288235,0.103716,0.110485,0.119801,0.077443,0.052248,0.061227,0.043252
0.471696,0.595604,0.599186,0.554854,0.624053,0.850333,0.851874,0.808591,0.562868,0.541709,0.589321,0.644759,0.404264,0.436194,0.387376,0.331774,0.285987,0.103434,0.110096,0.118569,0.077464,0.052202,0.061186,0.04324
0.476509,0.603292,0.606855,0.56265,0.620906,0.847179,0.848702,0.805413,0.563292,0.541148,0.588771,0.644408,0.404297,0.436185,0.387376,0.331761,0.283526,0.10301,0.109587,0.117221,0.077486,0.052156,0.061144,0.043228
0.481463,0.611122,0.614661,0.570563,0.617762,0.844029,0.845529,0.802237,0.56367,0.540647,0.588281,0.644094,0.40433,0.436179,0.387378,0.331749,0.280857,0.10245,0.108966,0.115769,0.07751,0.052109,0.0611,0.043217
0.486559,0.619095,0.622603,0.578592,0.614619,0.840884,0.842356,0.799062,0.563998,0.540215,0.587857,0.643822,0.404361,0.436176,0.387381,0.331737,0.277983,0.101764,0.108243,0.114225,0.077536,0.052064,0.061056,0.043207
0.491795,0.627214,0.630684,0.586739,0.611479,0.837743,0.839182,0.795889,0.564271,0.539856,0.587506,0.643597,0.404391,0.436175,0.387387,0.331726,0.274907,0.100959,0.107428,0.1126,0.077564,0.052019,0.061012,0.043197
0.497172,0.63548,0.638902,0.595005,0.60834,0.834605,0.836009,0.792718,0.56449,0.539574,0.587231,0.643423,0.40442,0.436177,0.387393,0.331715,0.271636,0.100047,0.10653,0.110904,0.077595,0.051977,0.060968,0.043188
0.502691,0.643898,0.647261,0.603392,0.605204,0.831472,0.832836,0.78955,0.564654,0.539372,0.587033,0.643302,0.404447,0.436179,0.387401,0.331704,0.268175,0.099035,0.105557,0.109144,0.077628,0.051935,0.060924,0.043179
0.508352,0.652468,0.655759,0.611901,0.602069,0.828342,0.829663,0.786385,0.564767,0.53925,0.586913,0.643236,0.404473,0.436182,0.387408,0.331694,0.26453,0.097935,0.104519,0.107327,0.077663,0.051896,0.06088,0.043171
